"Cinema","Subject","Start ISO","Start Date","Start Time","End ISO","End Date","End Time","Description","Location"
"Filmfestival Rathausplatz","We Stand With Ukraine: Benefizkonzert aus dem Ernst-Happel-Stadion","2022-07-02T19:30:00Z","2022-07-02",21:30:00,"2022-07-02T21:30:00Z","2022-07-02",23:30:00,"https://filmfestival-rathausplatz.at/event/we-stand-with-ukraine-benefizkonzert-aus-dem-ernst-happel-stadion","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Il Turco in Italia: zeitversetzte Live-Übertragung","2022-07-03T19:30:00Z","2022-07-03",21:30:00,"2022-07-03T21:30:00Z","2022-07-03",23:30:00,"https://filmfestival-rathausplatz.at/event/il-turco-in-italia-zeitversetzte-live-uebertragung","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Falco Symphonic Live","2022-07-04T19:30:00Z","2022-07-04",21:30:00,"2022-07-04T20:30:00Z","2022-07-04",22:30:00,"https://filmfestival-rathausplatz.at/event/falco-symphonic-live","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","David Bowie: A Reality Tour","2022-07-04T20:31:00Z","2022-07-04",22:31:00,"2022-07-04T21:30:00Z","2022-07-04",23:30:00,"https://filmfestival-rathausplatz.at/event/david-bowie-a-reality-tour","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Pavarotti: Live im Hyde Park","2022-07-05T19:30:00Z","2022-07-05",21:30:00,"2022-07-05T21:30:00Z","2022-07-05",23:30:00,"https://filmfestival-rathausplatz.at/event/pavarotti-live-im-hyde-park","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Turandot","2022-07-06T19:30:00Z","2022-07-06",21:30:00,"2022-07-06T21:30:00Z","2022-07-06",23:30:00,"https://filmfestival-rathausplatz.at/event/turandot","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Coldplay: Live In São Paulo","2022-07-07T19:30:00Z","2022-07-07",21:30:00,"2022-07-07T21:30:00Z","2022-07-07",23:30:00,"https://filmfestival-rathausplatz.at/event/coldplay-live-in-sao-paulo","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","2Cellos im Sydney Opera House","2022-07-08T19:30:00Z","2022-07-08",21:30:00,"2022-07-08T21:30:00Z","2022-07-08",23:30:00,"https://filmfestival-rathausplatz.at/event/2cellos-im-sydney-opera-house","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","B.B. King: Live At Montreux","2022-07-09T19:30:00Z","2022-07-09",21:30:00,"2022-07-09T21:30:00Z","2022-07-09",23:30:00,"https://filmfestival-rathausplatz.at/event/b-b-king-live-at-montreux","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Werther","2022-07-10T19:15:00Z","2022-07-10",21:15:00,"2022-07-10T21:30:00Z","2022-07-10",23:30:00,"https://filmfestival-rathausplatz.at/event/werther","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Seiler und Speer: Red Bull Symphonic","2022-07-11T19:15:00Z","2022-07-11",21:15:00,"2022-07-11T21:30:00Z","2022-07-11",23:30:00,"https://filmfestival-rathausplatz.at/event/seiler-und-speer-red-bull-symphonic","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Thaïs","2022-07-12T19:15:00Z","2022-07-12",21:15:00,"2022-07-12T21:30:00Z","2022-07-12",23:30:00,"https://filmfestival-rathausplatz.at/event/thais","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Martin Grubinger At Waldbühne 2021: American Rhythms","2022-07-13T19:15:00Z","2022-07-13",21:15:00,"2022-07-13T21:30:00Z","2022-07-13",23:30:00,"https://filmfestival-rathausplatz.at/event/martin-grubinger-at-waldbuehne-2021-american-rhythms","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Queen: Hungarian Rhapsody Live In Budapest","2022-07-14T19:15:00Z","2022-07-14",21:15:00,"2022-07-14T21:30:00Z","2022-07-14",23:30:00,"https://filmfestival-rathausplatz.at/event/queen-hungarian-rhapsody-live-in-budapest","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Sting: Live At The Olympia| Paris","2022-07-15T19:15:00Z","2022-07-15",21:15:00,"2022-07-15T20:15:00Z","2022-07-15",22:15:00,"https://filmfestival-rathausplatz.at/event/sting-live-at-the-olympia-paris","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Amy Winehouse: Live aus dem Shepherd's Bush Empire","2022-07-15T20:15:00Z","2022-07-15",22:15:00,"2022-07-15T21:30:00Z","2022-07-15",23:30:00,"https://filmfestival-rathausplatz.at/event/amy-winehouse-live-aus-dem-shepherd-s-bush-empire","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Schwanensee","2022-07-16T19:15:00Z","2022-07-16",21:15:00,"2022-07-16T21:30:00Z","2022-07-16",23:30:00,"https://filmfestival-rathausplatz.at/event/schwanensee-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Die Fledermaus","2022-07-17T19:15:00Z","2022-07-17",21:15:00,"2022-07-17T21:30:00Z","2022-07-17",23:30:00,"https://filmfestival-rathausplatz.at/event/die-fledermaus-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Subsurface","2022-07-18T19:15:00Z","2022-07-18",21:15:00,"2022-07-18T20:15:00Z","2022-07-18",22:15:00,"https://filmfestival-rathausplatz.at/event/subsurface","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Dee Dee Bridgewater: Live At The Bayfront Jazz Festival","2022-07-18T19:22:00Z","2022-07-18",21:22:00,"2022-07-18T21:30:00Z","2022-07-18",23:30:00,"https://filmfestival-rathausplatz.at/event/dee-dee-bridgewater-live-at-the-bayfront-jazz-festival","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Neujahrskonzert 2022","2022-07-19T19:15:00Z","2022-07-19",21:15:00,"2022-07-19T21:30:00Z","2022-07-19",23:30:00,"https://filmfestival-rathausplatz.at/event/neujahrskonzert-2022","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Cold Storage","2022-07-20T19:15:00Z","2022-07-20",21:15:00,"2022-07-20T20:15:00Z","2022-07-20",22:15:00,"https://filmfestival-rathausplatz.at/event/cold-storage","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Herbert Pixner Projekt und das Tonkünstler-Orchester: Symphonic Alps","2022-07-20T19:23:00Z","2022-07-20",21:23:00,"2022-07-20T20:30:00Z","2022-07-20",22:30:00,"https://filmfestival-rathausplatz.at/event/herbert-pixner-projekt-und-das-tonkuenstler-orchester-symphonic-alps","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","In Memoriam Willi Resetarits: BE A MENSCH","2022-07-20T20:34:00Z","2022-07-20",22:34:00,"2022-07-20T21:45:00Z","2022-07-20",23:45:00,"https://filmfestival-rathausplatz.at/event/in-memoriam-willi-resetarits-be-a-mensch","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","TINA: LIVE!","2022-07-21T19:15:00Z","2022-07-21",21:15:00,"2022-07-21T21:30:00Z","2022-07-21",23:30:00,"https://filmfestival-rathausplatz.at/event/tina-live","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Hollywood In Vienna: The World Of Hans Zimmer","2022-07-22T19:15:00Z","2022-07-22",21:15:00,"2022-07-22T21:30:00Z","2022-07-22",23:30:00,"https://filmfestival-rathausplatz.at/event/hollywood-in-vienna-the-world-of-hans-zimmer","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Die Toten Hosen: Nur zu Besuch MTV Unplugged","2022-07-23T19:15:00Z","2022-07-23",21:15:00,"2022-07-23T21:30:00Z","2022-07-23",23:30:00,"https://filmfestival-rathausplatz.at/event/die-toten-hosen-nur-zu-besuch-mtv-unplugged","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Carmen","2022-07-24T19:15:00Z","2022-07-24",21:15:00,"2022-07-24T21:30:00Z","2022-07-24",23:30:00,"https://filmfestival-rathausplatz.at/event/carmen","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Chucho Valdés: La Creación","2022-07-25T19:15:00Z","2022-07-25",21:15:00,"2022-07-25T21:30:00Z","2022-07-25",23:30:00,"https://filmfestival-rathausplatz.at/event/chucho-valdes-la-creacion","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Galakonzert aus Berlin 2021","2022-07-26T19:15:00Z","2022-07-26",21:15:00,"2022-07-26T21:30:00Z","2022-07-26",23:30:00,"https://filmfestival-rathausplatz.at/event/galakonzert-aus-berlin-2021","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Rolling Stones: Havana Moon","2022-07-27T19:15:00Z","2022-07-27",21:15:00,"2022-07-27T21:30:00Z","2022-07-27",23:30:00,"https://filmfestival-rathausplatz.at/event/rolling-stones-havana-moon","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","John Williams: Live In Vienna","2022-07-28T19:15:00Z","2022-07-28",21:15:00,"2022-07-28T21:15:00Z","2022-07-28",23:15:00,"https://filmfestival-rathausplatz.at/event/john-williams-live-in-vienna-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Nino und Julia","2022-07-29T19:15:00Z","2022-07-29",21:15:00,"2022-07-29T19:45:00Z","2022-07-29",21:45:00,"https://filmfestival-rathausplatz.at/event/nino-und-julia-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Das große Musical-Konzert der Vereinigten Bühnen Wien","2022-07-29T19:20:00Z","2022-07-29",21:20:00,"2022-07-29T21:20:00Z","2022-07-29",23:20:00,"https://filmfestival-rathausplatz.at/event/das-grosse-musical-konzert-der-vereinigten-buehnen-wien-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Herbert Blomstedt und Martha Argerich in Luzern: Beethoven","2022-07-30T19:15:00Z","2022-07-30",21:15:00,"2022-07-30T20:30:00Z","2022-07-30",22:30:00,"https://filmfestival-rathausplatz.at/event/herbert-blomstedt-und-martha-argerich-in-luzern-beethoven-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Glenn Gould spielt Bach: Goldberg-Variationen","2022-07-30T20:35:00Z","2022-07-30",22:35:00,"2022-07-30T21:30:00Z","2022-07-30",23:30:00,"https://filmfestival-rathausplatz.at/event/glenn-gould-spielt-bach-goldberg-variationen","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Sylvia","2022-07-31T19:15:00Z","2022-07-31",21:15:00,"2022-07-31T21:15:00Z","2022-07-31",23:15:00,"https://filmfestival-rathausplatz.at/event/sylvia","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Fidelio","2022-08-01T19:00:00Z","2022-08-01",21:00:00,"2022-08-01T21:00:00Z","2022-08-01",23:00:00,"https://filmfestival-rathausplatz.at/event/fidelio-3","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Franz Lehár Gala","2022-08-02T19:00:00Z","2022-08-02",21:00:00,"2022-08-02T21:00:00Z","2022-08-02",23:00:00,"https://filmfestival-rathausplatz.at/event/franz-lehar-gala","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Metropolitan Opera Stars Live In Concert: Joyce DiDonato","2022-08-02T20:15:00Z","2022-08-02",22:15:00,"2022-08-02T21:15:00Z","2022-08-02",23:15:00,"https://filmfestival-rathausplatz.at/event/metropolitan-opera-stars-live-in-concert-joyce-didonato","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Lang Lang: Live In Berlin feat. Herbie Hancock","2022-08-03T19:00:00Z","2022-08-03",21:00:00,"2022-08-03T21:00:00Z","2022-08-03",23:00:00,"https://filmfestival-rathausplatz.at/event/lang-lang-live-in-berlin-feat-herbie-hancock","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Depeche Mode: Spirits In The Forest","2022-08-04T19:00:00Z","2022-08-04",21:00:00,"2022-08-04T21:00:00Z","2022-08-04",23:00:00,"https://filmfestival-rathausplatz.at/event/depeche-mode-spirits-in-the-forest","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Les Misérables In Concert","2022-08-05T19:00:00Z","2022-08-05",21:00:00,"2022-08-05T21:00:00Z","2022-08-05",23:00:00,"https://filmfestival-rathausplatz.at/event/les-miserables-in-concert","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","2Cellos im Sydney Opera House","2022-08-06T19:00:00Z","2022-08-06",21:00:00,"2022-08-06T21:00:00Z","2022-08-06",23:00:00,"https://filmfestival-rathausplatz.at/event/2cellos-im-sydney-opera-house-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","La Traviata","2022-08-07T19:00:00Z","2022-08-07",21:00:00,"2022-08-07T21:00:00Z","2022-08-07",23:00:00,"https://filmfestival-rathausplatz.at/event/la-traviata-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Cold Storage","2022-08-08T19:00:00Z","2022-08-08",21:00:00,"2022-08-08T19:15:00Z","2022-08-08",21:15:00,"https://filmfestival-rathausplatz.at/event/cold-storage-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Herbert Pixner Projekt und das Tonkünstler-Orchester: Symphonic Alps","2022-08-08T19:08:00Z","2022-08-08",21:08:00,"2022-08-08T20:30:00Z","2022-08-08",22:30:00,"https://filmfestival-rathausplatz.at/event/herbert-pixner-projekt-und-das-tonkuenstler-orchester-symphonic-alps-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","In Memoriam Willi Resetarits: BE A MENSCH","2022-08-08T20:28:00Z","2022-08-08",22:28:00,"2022-08-08T21:45:00Z","2022-08-08",23:45:00,"https://filmfestival-rathausplatz.at/event/in-memoriam-willi-resetarits-be-a-mensch-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
"Filmfestival Rathausplatz","Sting: Live At The Olympia, Paris","2022-08-09T19:00:00Z","2022-08-09",21:00:00,"2022-08-09T20:00:00Z","2022-08-09",22:00:00,"https://filmfestival-rathausplatz.at/event/sting-live-at-the-olympia-paris-2","Rathausplatz, Rathauspl., 1010 Wien, Austria"
