Start Timestamp,Start Date,Start Time,End Timestamp,End Date,End Time,Description,Type,Location,Subject
2022-06-06T18:00:00Z,06/06/22,20:00:00,2022-06-06T21:30:00Z,06/06/22,23:30:00,https://tickets.kinoamdach.at/at/the-card-counter-presented-by-falter-06-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Card Counter
2022-06-07T18:00:00Z,06/07/22,20:00:00,2022-06-07T21:30:00Z,06/07/22,23:30:00,https://tickets.kinoamdach.at/at/the-man-who-sold-his-skin-07-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Man Who Sold His Skin
2022-06-08T18:00:00Z,06/08/22,20:00:00,2022-06-08T21:30:00Z,06/08/22,23:30:00,https://tickets.kinoamdach.at/at/tangerine-la-presented-by-vienna-pride-08-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Tangerine L.A
2022-06-09T18:00:00Z,06/09/22,20:00:00,2022-06-09T21:30:00Z,06/09/22,23:30:00,https://tickets.kinoamdach.at/at/tangerine-la-presented-by-vienna-pride-08-06-2022-3,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Sunburned
2022-06-10T18:00:00Z,06/10/22,20:00:00,2022-06-10T21:30:00Z,06/10/22,23:30:00,https://tickets.kinoamdach.at/at/red-rocket-10-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Red Rocket
2022-06-11T18:00:00Z,06/11/22,20:00:00,2022-06-11T21:30:00Z,06/11/22,23:30:00,https://tickets.kinoamdach.at/at/licorice-pizza-11-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Licorice Pizza
2022-06-12T18:00:00Z,06/12/22,20:00:00,2022-06-12T21:30:00Z,06/12/22,23:30:00,https://tickets.kinoamdach.at/at/the-beatles-get-back-the-rooftop-concert-12-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Beatles: Get Back
2022-06-13T18:00:00Z,06/13/22,20:00:00,2022-06-13T21:30:00Z,06/13/22,23:30:00,https://tickets.kinoamdach.at/at/moneyboys-presented-by-falter-27-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Moneyboys
2022-06-14T18:00:00Z,06/14/22,20:00:00,2022-06-14T21:30:00Z,06/14/22,23:30:00,https://tickets.kinoamdach.at/at/lamb-presented-by-slash-filmfestival-14-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Lamb
2022-06-15T18:00:00Z,06/15/22,20:00:00,2022-06-15T21:30:00Z,06/15/22,23:30:00,https://tickets.kinoamdach.at/at/der-bauer-und-der-bobo-15-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Der Bauer und der Bobo
2022-06-16T18:00:00Z,06/16/22,20:00:00,2022-06-16T21:30:00Z,06/16/22,23:30:00,https://tickets.kinoamdach.at/at/rabiye-kurnaz-gegen-george-w-bush-16-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Rabiye Kurnaz Gegen George W. Bush
2022-06-17T18:00:00Z,06/17/22,20:00:00,2022-06-17T21:30:00Z,06/17/22,23:30:00,https://tickets.kinoamdach.at/at/last-night-in-soho-17-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Last Night in Soho
2022-06-18T18:00:00Z,06/18/22,20:00:00,2022-06-18T21:30:00Z,06/18/22,23:30:00,https://tickets.kinoamdach.at/at/belfast-18-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Belfast
2022-06-19T18:00:00Z,06/19/22,20:00:00,2022-06-19T21:30:00Z,06/19/22,23:30:00,https://tickets.kinoamdach.at/at/james-bond-keine-zeit-zu-sterben-19-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",James Bond - No Time to Die
2022-06-20T18:00:00Z,06/20/22,20:00:00,2022-06-20T21:30:00Z,06/20/22,23:30:00,https://tickets.kinoamdach.at/at/compartiment-n6-presented-by-falter-20-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Compartiment N°6
2022-06-21T18:00:00Z,06/21/22,20:00:00,2022-06-21T21:30:00Z,06/21/22,23:30:00,https://tickets.kinoamdach.at/at/african-territory-presented-by-surf-film-nacht-21-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",African Territory
2022-06-22T18:00:00Z,06/22/22,20:00:00,2022-06-22T21:30:00Z,06/22/22,23:30:00,https://tickets.kinoamdach.at/at/alice-schwarzer-22-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Alice Schwarzer
2022-06-23T18:00:00Z,06/23/22,20:00:00,2022-06-23T21:30:00Z,06/23/22,23:30:00,https://tickets.kinoamdach.at/at/french-exit-23-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",French Exit
