dtstart,dtend,created,description,location,summary
2022-07-02T19:30:00Z,2022-07-02T21:30:00Z,2022-06-04T10:48:22Z,"Das Who is Who der österreichischen Musikszene trat im März 2022 im Wiener Ernst-Happel-Stadion auf – zugunsten der Aktion „Nachbar in Not”, für die Flüchtenden aus der Ukraine. Insgesamt 14 österreichische Musikacts zeigten sich vor 45.000 Zuschauer*innen mit ihren ganz großen Hits.","Rathausplatz, Rathauspl., 1010 Wien, Austria",We Stand With Ukraine: Benefizkonzert aus dem Ernst-Happel-Stadion
2022-07-03T19:30:00Z,2022-07-03T21:30:00Z,2022-06-04T10:48:22Z,Bei der heute gezeigten Oper „Il Turco in Italia“ handelt es sich um eine zeitversetzte Live-Übertragung aus der Wiener Staatsoper mit Cecilia Bartoli in der Hauptrolle. Freuen Sie sich auf einen fulminanten Abend mit Rossinis „dramma buffa“ aus dem Jahr 1814!,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Il Turco in Italia: zeitversetzte Live-Übertragung
2022-06-04T18:00:00Z,2022-06-04T21:30:00Z,2022-06-03T16:43:02Z,https://tickets.kinoamdach.at/at/rimini-04-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Rimini
2022-06-05T18:00:00Z,2022-06-05T21:30:00Z,2022-06-04T09:02:08Z,https://tickets.kinoamdach.at/at/grosse-freiheit-05-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Grosse Freiheit
2022-06-06T18:00:00Z,2022-06-06T21:30:00Z,2022-06-03T16:35:23Z,https://tickets.kinoamdach.at/at/the-card-counter-presented-by-falter-06-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Card Counter
2022-06-07T18:00:00Z,2022-06-07T21:30:00Z,2022-06-03T16:43:55Z,https://tickets.kinoamdach.at/at/the-man-who-sold-his-skin-07-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Man Who Sold His Skin
2022-06-08T18:00:00Z,2022-06-08T21:30:00Z,2022-06-03T16:44:26Z,https://tickets.kinoamdach.at/at/tangerine-la-presented-by-vienna-pride-08-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Tangerine L.A
2022-06-09T18:00:00Z,2022-06-09T21:30:00Z,2022-06-03T16:44:53Z,https://tickets.kinoamdach.at/at/tangerine-la-presented-by-vienna-pride-08-06-2022-3,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Sunburned
2022-06-10T18:00:00Z,2022-06-10T21:30:00Z,2022-06-03T16:45:58Z,https://tickets.kinoamdach.at/at/red-rocket-10-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Red Rocket
2022-06-11T18:00:00Z,2022-06-11T21:30:00Z,2022-06-03T16:41:33Z,https://tickets.kinoamdach.at/at/licorice-pizza-11-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Licorice Pizza
2022-06-12T18:00:00Z,2022-06-12T21:30:00Z,2022-06-03T16:46:42Z,https://tickets.kinoamdach.at/at/the-beatles-get-back-the-rooftop-concert-12-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Beatles: Get Back
2022-06-13T18:00:00Z,2022-06-13T21:30:00Z,2022-06-03T16:47:06Z,https://tickets.kinoamdach.at/at/moneyboys-presented-by-falter-27-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Moneyboys
2022-06-14T18:00:00Z,2022-06-14T21:30:00Z,2022-06-03T16:47:31Z,https://tickets.kinoamdach.at/at/lamb-presented-by-slash-filmfestival-14-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Lamb
2022-06-15T18:00:00Z,2022-06-15T21:30:00Z,2022-06-03T16:49:27Z,https://tickets.kinoamdach.at/at/der-bauer-und-der-bobo-15-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Der Bauer und der Bobo
2022-06-16T18:00:00Z,2022-06-16T21:30:00Z,2022-06-03T16:47:56Z,https://tickets.kinoamdach.at/at/rabiye-kurnaz-gegen-george-w-bush-16-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Rabiye Kurnaz Gegen George W. Bush
2022-06-17T18:00:00Z,2022-06-17T21:30:00Z,2022-06-03T16:50:36Z,https://tickets.kinoamdach.at/at/last-night-in-soho-17-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Last Night in Soho
2022-06-18T18:00:00Z,2022-06-18T21:30:00Z,2022-06-03T16:49:56Z,https://tickets.kinoamdach.at/at/belfast-18-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Belfast
2022-06-19T18:00:00Z,2022-06-19T21:30:00Z,2022-06-03T16:51:04Z,https://tickets.kinoamdach.at/at/james-bond-keine-zeit-zu-sterben-19-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",James Bond - No Time to Die
2022-06-20T18:00:00Z,2022-06-20T21:30:00Z,2022-06-03T16:51:43Z,https://tickets.kinoamdach.at/at/compartiment-n6-presented-by-falter-20-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Compartiment N°6
2022-06-21T18:00:00Z,2022-06-21T21:30:00Z,2022-06-03T16:52:10Z,https://tickets.kinoamdach.at/at/african-territory-presented-by-surf-film-nacht-21-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",African Territory
2022-06-22T18:00:00Z,2022-06-22T21:30:00Z,2022-06-03T16:26:42Z,https://tickets.kinoamdach.at/at/alice-schwarzer-22-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Alice Schwarzer
2022-06-23T18:00:00Z,2022-06-23T21:30:00Z,2022-06-03T16:52:43Z,https://tickets.kinoamdach.at/at/french-exit-23-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",French Exit
